lat,long,agi
45.616174,-122.497721,35844
47.670893,-117.176698,42821
47.044011,-122.822404,34394
47.443377,-122.296229,35278
47.734211,-122.147041,91062
46.213233,-119.162367,27737
47.65654521,-122.6737546,45317
47.4799835,-122.215076,45670
47.501865833,-122.203970833,65018
47.678688,-122.174022,187933
47.758855,-122.2474,71076
48.51004,-122.608116,60931
48.510044,-122.608185,60931
46.589108,-120.601588,44013
47.653125,-122.143971,69292
47.337269,-123.160611,32504
47.594042,-122.323977,81073
46.588986,-120.60055,44013
47.622158,-122.176042,117231
47.622172,-122.175417,117231
47.621787,-122.175997,117231
47.621722,-122.175868,117231
47.621671,-122.17589,117231
47.621852,-122.175836,117231
47.621751,-122.175943,117231
47.621758,-122.175804,117231
47.890423,-122.286971,63166
47.621743,-122.176008,117231
47.62216,-122.176,117231
47.621837,-122.175922,117231
47.622008,-122.175897,117231
47.62183,-122.175707,117231
47.621748,-122.175959,117231
47.621685,-122.176008,117231
47.621826,-122.175977,117231
47.621808,-122.176051,117231
47.621657,-122.175954,117231
47.83522282290976,-120.068983390213,44544
47.622044,-122.175811,117231
47.62211,-122.175807,117231
47.621921,-122.176015,117231
47.621942,-122.175942,117231
47.843755,-122.294874,43843
47.71142,-122.19086,81474
47.611048,-122.202181,239631
47.706589,-122.327778,61215
46.609653,-120.491932,25561
47.519113,-121.841787,81073
47.938215,-122.109075,53937
47.791134,-122.36613,100727
47.621784,-122.175908,117231
47.314888,-122.31487,32259
47.444946,-122.212785,42796
47.80738,-122.290565,44319
47.5758255,-122.1708235,111188
47.2727635,-122.2275765,27573
47.61388,-122.31477,98592
47.6583744,-122.6760529,45317
47.42745,-120.31242,37355
47.662815,-122.31902,127182
47.620214,-122.330658,130936
47.811105,-122.540695,49113
47.43361,-122.27274,35278
48.942575,-122.455243,39719
47.29771,-122.24911,40765
47.614345,-122.200772,239631
47.63173,-122.32099,134395
46.320333,-117.980222,36264
47.611519,-122.182197,117231
46.72527,-122.97422,28265
47.611815,-122.178134,117231
47.6683535,-122.3749615,95249
48.10993,-123.36134,38344
45.714228,-121.461813,33926
47.676045,-122.203117,187933
47.675556,-122.207383,187933
47.675896,-122.203012,187933
47.675365,-122.2075,187933
47.678476,-122.206806,187933
47.613498,-122.320931,98592
48.73115,-122.47117,35429
47.670285,-122.353765,98316
47.670287,-122.353696,98316
47.670292,-122.353627,98316
47.62482,-122.35829,121779
46.711331,-122.976491,28265
46.711291,-122.976524,28265
48.014624,-122.065442,45350
47.499129,-122.180651,65018
47.7651883,-122.6573597,49711
46.97642,-123.80708,28901
46.27622,-122.91012,35994
48.74393,-122.461854,49607
47.53129,-122.06573,91358
47.59736,-120.64588,53459
47.3064421,-122.229972,40765
47.465678,-122.142289,48364
47.97331,-122.201162,40670
47.171582,-122.517619,33617
47.60521,-122.32972,98639
47.62606,-122.349,98639
47.9990269,-122.1914014,40670
48.45625,-122.33954,35338
47.616243,-122.340257,150993
47.615052,-122.338336,150993
47.614986,-122.338444,150993
47.61554,-122.338778,150993
47.615059,-122.338454,150993
47.615399,-122.338834,150993
47.615489,-122.338786,150993
47.616253,-122.340184,150993
47.616246,-122.340184,150993
47.616231,-122.340205,150993
47.338754,-122.221114,27573
45.81749,-122.68359,57400
47.616129,-122.340052,150993
47.616224,-122.340227,150993
47.623336,-122.336584,130936
47.62334,-122.336589,130936
47.623333,-122.336648,130936
47.623327,-122.336677,130936
47.623442,-122.335352,130936
47.623537,-122.335474,130936
47.622775,-122.336355,130936
47.622775,-122.336346,130936
48.92653,-122.64552,37002
47.623027,-122.3365,130936
47.623014,-122.336611,130936
47.621746,-122.336402,130936
47.621821,-122.33637,130936
47.621851,-122.336423,130936
47.620496,-122.33622,130936
47.620275,-122.336253,130936
47.620392,-122.336265,130936
47.620267,-122.336259,130936
47.62036,-122.336252,130936
47.623967,-122.337695,130936
47.61664,-122.338877,150993
47.61669,-122.338963,150993
47.616677,-122.339024,150993
47.616684,-122.339013,150993
47.616676,-122.338931,150993
47.61669,-122.338985,150993
47.616684,-122.33897,150993
47.616712,-122.33907,150993
47.616632,-122.338942,150993
45.77671,-122.669,57400
47.616654,-122.338888,150993
47.61751,-122.340955,150993
47.617453,-122.341014,150993
47.61751,-122.34093,150993
47.617528,-122.340928,150993
47.617473,-122.340993,150993
47.617495,-122.340974,150993
47.617429,-122.341037,150993
47.617264,-122.340534,150993
47.617287,-122.340505,150993
47.707951,-122.321496,61215
47.617307,-122.340479,150993
47.617228,-122.340588,150993
47.613364,-122.196731,239631
47.613372,-122.196796,239631
47.613343,-122.196839,239631
47.613386,-122.196667,239631
47.613372,-122.196721,239631
47.613386,-122.19671,239631
47.61335,-122.196817,239631
47.613401,-122.19671,239631
48.093634,-122.813252,47597
47.613357,-122.196882,239631
47.613364,-122.196774,239631
47.613357,-122.196624,239631
47.613343,-122.196753,239631
47.613343,-122.196699,239631
47.613415,-122.196955,239631
47.618918,-122.346874,130936
47.619488,-122.346886,130936
47.75969,-122.193886,69199
47.759644,-122.1939,69199
48.102409,-122.80229,47597
47.75966,-122.19387,69199
47.759647,-122.193886,69199
47.75966,-122.19386,69199
47.75964,-122.19391,69199
47.037347,-122.897324,45355
47.50453,-122.62941,37099
47.759598,-122.193902,69199
47.621194,-122.186139,239631
47.185296,-122.299236,46423
45.631806,-122.535112,35844
48.103061,-122.794143,47597
45.633264,-122.536477,35844
48.5126865,-122.611788,60931
47.713073982,-122.569902338,39065
48.747824,-122.478347,48487
47.43001676,-122.2961501,35278
47.2464713,-122.4396442,59070
47.9487555,-122.3062009,63166
47.8105149,-122.3748742,100727
47.70340520000001,-122.15378520000002,104401
48.079887824216,-123.09749698672,44410
48.113018,-122.760544,47597
47.381517,-122.26211,33665
47.527683,-121.8237,81073
47.532721,-121.873105,81073
47.52717,-121.82621,81073
46.7250165,-124.0206708,31505
48.0000028,-122.2146431,40670
46.2707488,-118.1532507,33945
48.5012896,-122.6152529,60931
47.688818,-122.150315,104401
47.618317,-122.1969022,239631
47.625092,-117.53956,47253
47.6110064,-122.2021671,239631
47.582405,-122.153989,117231
47.6171782,-122.3313731,257397
47.6246042,-122.35931820000002,121779
47.611378281765,-122.3314401402,257397
47.5944743,-122.6294686,35228
47.281263,-122.516582,62424
47.056479,-122.762767,43185
47.0001351,-122.8280101,34394
47.6055171,-124.3715566,28624
48.755607,-122.454132,49607
47.716066,-122.179613,81474
47.7088267,-122.1601307,104401
47.2535492,-122.4469825,34053
