County,Station,Car
http://www.dei.unipd.it/~poor6/db2/ontologies/2023/electricCars#GarfieldCounty,0,3
http://www.dei.unipd.it/~poor6/db2/ontologies/2023/electricCars#FerryCounty,0,17
http://www.dei.unipd.it/~poor6/db2/ontologies/2023/electricCars#ColumbiaCounty,3,18
http://www.dei.unipd.it/~poor6/db2/ontologies/2023/electricCars#LincolnCounty,4,39
http://www.dei.unipd.it/~poor6/db2/ontologies/2023/electricCars#PendOreilleCounty,2,43
http://www.dei.unipd.it/~poor6/db2/ontologies/2023/electricCars#WahkiakumCounty,3,45
http://www.dei.unipd.it/~poor6/db2/ontologies/2023/electricCars#AdamsCounty,3,54
http://www.dei.unipd.it/~poor6/db2/ontologies/2023/electricCars#AsotinCounty,1,63
http://www.dei.unipd.it/~poor6/db2/ontologies/2023/electricCars#SkamaniaCounty,2,101
http://www.dei.unipd.it/~poor6/db2/ontologies/2023/electricCars#PacificCounty,4,184
http://www.dei.unipd.it/~poor6/db2/ontologies/2023/electricCars#OkanoganCounty,12,212
http://www.dei.unipd.it/~poor6/db2/ontologies/2023/electricCars#StevensCounty,3,237
http://www.dei.unipd.it/~poor6/db2/ontologies/2023/electricCars#KlickitatCounty,6,242
http://www.dei.unipd.it/~poor6/db2/ontologies/2023/electricCars#WhitmanCounty,13,264
http://www.dei.unipd.it/~poor6/db2/ontologies/2023/electricCars#DouglasCounty,7,290
http://www.dei.unipd.it/~poor6/db2/ontologies/2023/electricCars#WallaWallaCounty,24,360
http://www.dei.unipd.it/~poor6/db2/ontologies/2023/electricCars#GrantCounty,12,450
http://www.dei.unipd.it/~poor6/db2/ontologies/2023/electricCars#KittitasCounty,16,504
http://www.dei.unipd.it/~poor6/db2/ontologies/2023/electricCars#FranklinCounty,11,505
http://www.dei.unipd.it/~poor6/db2/ontologies/2023/electricCars#GraysHarborCounty,17,534
http://www.dei.unipd.it/~poor6/db2/ontologies/2023/electricCars#LewisCounty,19,601
http://www.dei.unipd.it/~poor6/db2/ontologies/2023/electricCars#CowlitzCounty,10,656
http://www.dei.unipd.it/~poor6/db2/ontologies/2023/electricCars#MasonCounty,7,700
http://www.dei.unipd.it/~poor6/db2/ontologies/2023/electricCars#SanJuanCounty,19,833
http://www.dei.unipd.it/~poor6/db2/ontologies/2023/electricCars#YakimaCounty,38,836
http://www.dei.unipd.it/~poor6/db2/ontologies/2023/electricCars#ChelanCounty,38,864
http://www.dei.unipd.it/~poor6/db2/ontologies/2023/electricCars#JeffersonCounty,20,876
http://www.dei.unipd.it/~poor6/db2/ontologies/2023/electricCars#ClallamCounty,26,919
http://www.dei.unipd.it/~poor6/db2/ontologies/2023/electricCars#IslandCounty,11,1640
http://www.dei.unipd.it/~poor6/db2/ontologies/2023/electricCars#SkagitCounty,47,1699
http://www.dei.unipd.it/~poor6/db2/ontologies/2023/electricCars#BentonCounty,65,1800
http://www.dei.unipd.it/~poor6/db2/ontologies/2023/electricCars#WhatcomCounty,43,3636
http://www.dei.unipd.it/~poor6/db2/ontologies/2023/electricCars#SpokaneCounty,112,3652
http://www.dei.unipd.it/~poor6/db2/ontologies/2023/electricCars#KitsapCounty,74,4919
http://www.dei.unipd.it/~poor6/db2/ontologies/2023/electricCars#ThurstonCounty,70,5396
http://www.dei.unipd.it/~poor6/db2/ontologies/2023/electricCars#ClarkCounty,95,9014
http://www.dei.unipd.it/~poor6/db2/ontologies/2023/electricCars#PierceCounty,153,11349
http://www.dei.unipd.it/~poor6/db2/ontologies/2023/electricCars#SnohomishCounty,142,18109
http://www.dei.unipd.it/~poor6/db2/ontologies/2023/electricCars#KingCounty,1080,83867
