Zipcode,Type,City,County,State,Area Codes
98001,Standard,Auburn,King County,WA,206-253
98002,Standard,Auburn,King County,WA,253-206
98003,Standard,Federal Way,King County,WA,206-253
98004,Standard,Bellevue,King County,WA,425-206-253
98005,Standard,Bellevue,King County,WA,425-206
98006,Standard,Bellevue,King County,WA,360-425-206
98007,Standard,Bellevue,King County,WA,425-206
98008,Standard,Bellevue,King County,WA,206-425
98009,Po Box,Bellevue,King County,WA,425
98010,Standard,Black Diamond,King County,WA,360-206
98011,Standard,Bothell,King County,WA,206-425-360
98012,Standard,Bothell,Snohomish County,WA,425-206
98013,Po Box,Burton,King County,WA,206
98014,Standard,Carnation,King County,WA,425
98015,Po Box,Bellevue,King County,WA,425
98019,Standard,Duvall,King County,WA,425-206
98020,Standard,Edmonds,Snohomish County,WA,206-425
98021,Standard,Bothell,Snohomish County,WA,425-206
98022,Standard,Enumclaw,King County,WA,253-360-206
98023,Standard,Federal Way,King County,WA,253
98024,Standard,Fall City,King County,WA,425
98025,Po Box,Hobart,King County,WA,
98026,Standard,Edmonds,Snohomish County,WA,425-206
98027,Standard,Issaquah,King County,WA,425-206
98028,Standard,Kenmore,King County,WA,206-425
98029,Standard,Issaquah,King County,WA,425-206
98030,Standard,Kent,King County,WA,253
98031,Standard,Kent,King County,WA,206-253-425
98032,Standard,Kent,King County,WA,253-425-206
98033,Standard,Kirkland,King County,WA,206-425
98034,Standard,Kirkland,King County,WA,425-206
98035,Po Box,Kent,King County,WA,253
98036,Standard,Lynnwood,Snohomish County,WA,425-360-206
98037,Standard,Lynnwood,Snohomish County,WA,425-206
98038,Standard,Maple Valley,King County,WA,253-425-206-360
98039,Standard,Medina,King County,WA,425
98040,Standard,Mercer Island,King County,WA,425-206
98041,Po Box,Bothell,King County,WA,425
98042,Standard,Kent,King County,WA,253-425-206-360
98043,Standard,Mountlake Terrace,Snohomish County,WA,206-425
98045,Standard,North Bend,King County,WA,425
98046,Po Box,Lynnwood,Snohomish County,WA,206
98047,Standard,Pacific,King County,WA,253
98050,Po Box,Preston,King County,WA,425
98051,Standard,Ravensdale,King County,WA,360-425
98052,Standard,Redmond,King County,WA,425-206
98053,Standard,Redmond,King County,WA,425-206
98054,Standard,Redondo,King County,WA,
98055,Standard,Renton,King County,WA,206-425-253
98056,Standard,Renton,King County,WA,425-206
98057,Standard,Renton,King County,WA,206
98058,Standard,Renton,King County,WA,425-253-206
98059,Standard,Renton,King County,WA,425-206
98061,Po Box,Rollingbay,Kitsap County,WA,
98062,Po Box,Seahurst,King County,WA,
98063,Po Box,Federal Way,King County,WA,253
